CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0164,1.0,C0085,1.0,C0127,1.0
C0002,C0157,1.0,C0094,1.0,C0029,1.0
C0003,C0111,1.0,C0160,0.99,C0147,0.99
C0004,C0162,1.0,C0165,1.0,C0175,1.0
C0005,C0080,1.0,C0167,1.0,C0177,1.0
C0006,C0079,1.0,C0117,1.0,C0196,0.99
C0007,C0146,1.0,C0125,1.0,C0061,1.0
C0008,C0109,1.0,C0136,1.0,C0124,1.0
C0009,C0015,1.0,C0131,1.0,C0193,1.0
C0010,C0176,1.0,C0027,0.99,C0055,0.98
C0011,C0139,1.0,C0096,1.0,C0171,1.0
C0012,C0101,1.0,C0156,1.0,C0093,1.0
C0013,C0067,1.0,C0138,1.0,C0141,1.0
C0014,C0192,1.0,C0159,1.0,C0186,1.0
C0015,C0009,1.0,C0131,1.0,C0120,1.0
C0016,C0154,1.0,C0026,1.0,C0040,1.0
C0017,C0075,1.0,C0179,1.0,C0039,1.0
C0018,C0045,1.0,C0041,1.0,C0068,1.0
C0019,C0142,1.0,C0174,1.0,C0076,1.0
C0020,C0058,1.0,C0193,1.0,C0198,1.0
C0021,C0155,1.0,C0188,1.0,C0114,1.0
C0022,C0141,1.0,C0138,1.0,C0067,1.0
C0023,C0100,1.0,C0064,1.0,C0011,1.0
C0024,C0084,1.0,C0195,1.0,C0124,1.0
C0025,C0199,1.0,C0056,1.0,C0062,1.0
C0026,C0154,1.0,C0016,1.0,C0040,0.99
C0027,C0176,1.0,C0055,0.99,C0010,0.99
C0028,C0153,1.0,C0065,1.0,C0093,1.0
C0029,C0166,1.0,C0094,1.0,C0002,1.0
C0030,C0038,1.0,C0086,1.0,C0047,1.0
C0031,C0121,1.0,C0073,1.0,C0157,1.0
C0032,C0071,1.0,C0052,1.0,C0151,1.0
C0033,C0060,1.0,C0112,1.0,C0129,1.0
C0034,C0181,0.99,C0091,0.99,C0098,0.94
C0035,C0083,1.0,C0112,1.0,C0060,1.0
